timestamp [UTC],message,operation_Name
"21/11/2025, 16:07:31.012",[T4] Task 2 HTTP responded at 2025-11-21T16:07:31.010238+00:00 (Delta: 0.098 seconds),task3b_sql_trigger
"21/11/2025, 16:07:30.913",[T3] SQL Trigger fired at 2025-11-21T16:07:30.912178+00:00,task3b_sql_trigger
"21/11/2025, 16:07:30.100",[T2] Task 1 HTTP function responded at 2025-11-21T16:07:30.098898+00:00 (Delta: 0.099 seconds),task3a_simulate_timer
"21/11/2025, 16:07:30.001",[T1] Task 3a Timer trigger started at 2025-11-21T16:07:30.000272+00:00,task3a_simulate_timer
"21/11/2025, 16:07:20.720",[T4] Task 2 HTTP responded at 2025-11-21T16:07:20.717268+00:00 (Delta: 0.098 seconds),task3b_sql_trigger
"21/11/2025, 16:07:20.621",[T3] SQL Trigger fired at 2025-11-21T16:07:20.619372+00:00,task3b_sql_trigger
"21/11/2025, 16:07:20.092",[T2] Task 1 HTTP function responded at 2025-11-21T16:07:20.090806+00:00 (Delta: 0.088 seconds),task3a_simulate_timer
"21/11/2025, 16:07:20.004",[T1] Task 3a Timer trigger started at 2025-11-21T16:07:20.003118+00:00,task3a_simulate_timer
"21/11/2025, 16:07:10.449",[T4] Task 2 HTTP responded at 2025-11-21T16:07:10.447037+00:00 (Delta: 0.121 seconds),task3b_sql_trigger
"21/11/2025, 16:07:10.327",[T3] SQL Trigger fired at 2025-11-21T16:07:10.326115+00:00,task3b_sql_trigger
"21/11/2025, 16:07:10.108",[T2] Task 1 HTTP function responded at 2025-11-21T16:07:10.106437+00:00 (Delta: 0.102 seconds),task3a_simulate_timer
"21/11/2025, 16:07:10.006",[T1] Task 3a Timer trigger started at 2025-11-21T16:07:10.004719+00:00,task3a_simulate_timer
"21/11/2025, 16:07:01.145",[T4] Task 2 HTTP responded at 2025-11-21T16:07:01.142774+00:00 (Delta: 0.096 seconds),task3b_sql_trigger
"21/11/2025, 16:07:01.048",[T3] SQL Trigger fired at 2025-11-21T16:07:01.046922+00:00,task3b_sql_trigger
"21/11/2025, 16:07:00.117",[T2] Task 1 HTTP function responded at 2025-11-21T16:07:00.115600+00:00 (Delta: 0.115 seconds),task3a_simulate_timer
"21/11/2025, 16:07:00.002",[T1] Task 3a Timer trigger started at 2025-11-21T16:07:00.000838+00:00,task3a_simulate_timer
"21/11/2025, 16:06:50.859",[T4] Task 2 HTTP responded at 2025-11-21T16:06:50.857637+00:00 (Delta: 0.089 seconds),task3b_sql_trigger
"21/11/2025, 16:06:50.770",[T3] SQL Trigger fired at 2025-11-21T16:06:50.768794+00:00,task3b_sql_trigger
"21/11/2025, 16:06:50.124",[T2] Task 1 HTTP function responded at 2025-11-21T16:06:50.122744+00:00 (Delta: 0.122 seconds),task3a_simulate_timer
"21/11/2025, 16:06:50.004",[T1] Task 3a Timer trigger started at 2025-11-21T16:06:50.000832+00:00,task3a_simulate_timer
"21/11/2025, 16:06:40.603",[T4] Task 2 HTTP responded at 2025-11-21T16:06:40.600673+00:00 (Delta: 0.090 seconds),task3b_sql_trigger
"21/11/2025, 16:06:40.511",[T3] SQL Trigger fired at 2025-11-21T16:06:40.510389+00:00,task3b_sql_trigger
"21/11/2025, 16:06:40.119",[T2] Task 1 HTTP function responded at 2025-11-21T16:06:40.116145+00:00 (Delta: 0.111 seconds),task3a_simulate_timer
"21/11/2025, 16:06:40.005",[T1] Task 3a Timer trigger started at 2025-11-21T16:06:40.004978+00:00,task3a_simulate_timer
"21/11/2025, 16:06:30.335",[T4] Task 2 HTTP responded at 2025-11-21T16:06:30.333662+00:00 (Delta: 0.085 seconds),task3b_sql_trigger
"21/11/2025, 16:06:30.250",[T3] SQL Trigger fired at 2025-11-21T16:06:30.248241+00:00,task3b_sql_trigger
"21/11/2025, 16:06:30.114",[T2] Task 1 HTTP function responded at 2025-11-21T16:06:30.110293+00:00 (Delta: 0.109 seconds),task3a_simulate_timer
